task,L,vt,completed,CTE_mean,CTE_p90,Gmax,vt_min,vt_max,steps,alt_min,alt_max,runtime,alpha_min,alpha_max
s_curve,600,220,False,275.606221296816,917.8583456717425,7.188420659819693,185.34141540527344,250.0,500,4956.974609375,5517.79150390625,165.900043964386,-33.664240230186984,12.505993554249661
s_curve,1000,250,False,486.0144753439486,1503.4274190785004,7.717718828714535,193.3336181640625,256.84149169921875,500,4950.9951171875,5427.02734375,139.62044715881348,-28.93247300340433,6.086017008051413
s_curve,1500,280,True,556.633944604783,1481.949714233609,7.394949685993498,195.57388305664062,279.31427001953125,497,4955.51806640625,5734.58935546875,140.17860531806946,-25.916104371575788,8.465878603579172
figure_eight,600,220,False,484.2487465952113,1016.9571880171753,9.233594095336102,176.41033935546875,257.04754638671875,600,4889.7333984375,5765.810546875,172.23945498466492,-36.52359305828069,12.748737623578268
figure_eight,1000,250,False,495.9943471739352,1039.021523799724,9.567553931182044,180.09963989257812,265.5148010253906,600,4886.53173828125,5440.08642578125,171.8349153995514,-35.13746080773996,12.872299160758383
figure_eight,1500,280,False,774.9309722864892,1364.1656687988905,9.653327413959673,195.57388305664062,277.31695556640625,291,4752.13134765625,5737.70166015625,84.02285718917847,-32.02597837662441,12.31518880469077
mild_3d,600,220,False,155.5958764345852,523.908478768902,6.882888290416859,187.31988525390625,250.0,600,4959.21435546875,6114.80859375,172.94348120689392,-27.63079091930893,7.654455545276243
mild_3d,1000,250,False,192.85857560550346,690.7961824661694,8.063126731346136,194.02842712402344,250.67538452148438,600,4955.7255859375,5913.4482421875,174.93926286697388,-23.95183246628662,5.6892018002938896
mild_3d,1500,280,False,321.1426182964055,1125.1482262401846,7.714350108673781,191.3346710205078,277.9927978515625,600,4953.1904296875,5944.50439453125,176.734947681427,-23.09807418796066,18.486852969839557
vertical_90,600,220,True,87.1695513664235,234.30748177594327,6.553150790444334,187.36143493652344,250.0,351,4962.078125,14712.9306640625,103.92215418815613,-25.463810952284835,6.1048866862940425
vertical_90,1000,250,True,43.09358610461033,95.61541744736154,7.486595151314635,191.10995483398438,255.2030487060547,316,4950.99169921875,14720.248046875,92.5302267074585,-26.046706126242892,4.638111245996621
vertical_90,1500,280,True,22.48805685345796,51.087523803777636,6.382378739737162,189.9444122314453,282.5688171386719,292,4958.40185546875,14739.3759765625,88.0445442199707,-25.59658812220259,4.842916175806746
